Table with row headers in column A and column headers in row 4,,,,,,,,,,,
"CORE BASED STATISTICAL AREAS (CBSAs) AND COMBINED STATISTICAL AREAS (CSAs), ",,,,,,,,,,,
DECEMBER 2009,,,,,,,,,,,
CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS,County Status
10020,,318,"Abbeville, LA",Micropolitan Statistical Area,2,,"Lafayette-Acadiana, LA",Vermilion Parish,Louisiana,22113,Central
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,2,,,Brown County,South Dakota,46013,Central
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,2,,,Edmunds County,South Dakota,46045,Outlying
10140,,,"Aberdeen, WA",Micropolitan Statistical Area,2,,,Grays Harbor County,Washington,53027,Central
10180,,,"Abilene, TX",Metropolitan Statistical Area,1,,,Callahan County,Texas,48059,Outlying
10180,,,"Abilene, TX",Metropolitan Statistical Area,1,,,Jones County,Texas,48253,Outlying
10180,,,"Abilene, TX",Metropolitan Statistical Area,1,,,Taylor County,Texas,48441,Central
10220,,,"Ada, OK",Micropolitan Statistical Area,2,,,Pontotoc County,Oklahoma,40123,Central
10260,,,"Adjuntas, PR",Micropolitan Statistical Area,2,,,Adjuntas Municipio,Puerto Rico,72001,Central
10300,,,"Adrian, MI",Micropolitan Statistical Area,2,,,Lenawee County,Michigan,26091,Central
10380,,,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,1,,,Aguada Municipio,Puerto Rico,72003,Central
10380,,,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,1,,,Aguadilla Municipio,Puerto Rico,72005,Central
10380,,,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,1,,,Añasco Municipio,Puerto Rico,72011,Central
10380,,,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,1,,,Isabela Municipio,Puerto Rico,72071,Central
10380,,,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,1,,,Lares Municipio,Puerto Rico,72081,Central
10380,,,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,1,,,Moca Municipio,Puerto Rico,72099,Central
10380,,,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,1,,,Rincón Municipio,Puerto Rico,72117,Central
10380,,,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,1,,,San Sebastián Municipio,Puerto Rico,72131,Central
10420,,184,"Akron, OH",Metropolitan Statistical Area,1,,"Cleveland-Akron-Elyria, OH",Portage County,Ohio,39133,Central
10420,,184,"Akron, OH",Metropolitan Statistical Area,1,,"Cleveland-Akron-Elyria, OH",Summit County,Ohio,39153,Central
10460,,,"Alamogordo, NM",Micropolitan Statistical Area,2,,,Otero County,New Mexico,35035,Central
10500,,,"Albany, GA",Metropolitan Statistical Area,1,,,Baker County,Georgia,13007,Outlying
10500,,,"Albany, GA",Metropolitan Statistical Area,1,,,Dougherty County,Georgia,13095,Central
10500,,,"Albany, GA",Metropolitan Statistical Area,1,,,Lee County,Georgia,13177,Central
10500,,,"Albany, GA",Metropolitan Statistical Area,1,,,Terrell County,Georgia,13273,Outlying
10500,,,"Albany, GA",Metropolitan Statistical Area,1,,,Worth County,Georgia,13321,Outlying
10540,,102,"Albany-Lebanon, OR",Micropolitan Statistical Area,2,,"Albany-Corvallis-Lebanon, OR",Linn County,Oregon,41043,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,1,,"Albany-Schenectady-Amsterdam, NY",Albany County,New York,36001,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,1,,"Albany-Schenectady-Amsterdam, NY",Rensselaer County,New York,36083,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,1,,"Albany-Schenectady-Amsterdam, NY",Saratoga County,New York,36091,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,1,,"Albany-Schenectady-Amsterdam, NY",Schenectady County,New York,36093,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,1,,"Albany-Schenectady-Amsterdam, NY",Schoharie County,New York,36095,Outlying
10620,,172,"Albemarle, NC",Micropolitan Statistical Area,2,,"Charlotte-Gastonia-Salisbury, NC-SC",Stanly County,North Carolina,37167,Central
10660,,,"Albert Lea, MN",Micropolitan Statistical Area,2,,,Freeborn County,Minnesota,27047,Central
10700,,,"Albertville, AL",Micropolitan Statistical Area,2,,,Marshall County,Alabama,01095,Central
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,1,,,Bernalillo County,New Mexico,35001,Central
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,1,,,Sandoval County,New Mexico,35043,Central
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,1,,,Torrance County,New Mexico,35057,Outlying
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,1,,,Valencia County,New Mexico,35061,Outlying
10760,,388,"Alexander City, AL",Micropolitan Statistical Area,2,,"Montgomery-Alexander City, AL",Coosa County,Alabama,01037,Outlying
10760,,388,"Alexander City, AL",Micropolitan Statistical Area,2,,"Montgomery-Alexander City, AL",Tallapoosa County,Alabama,01123,Central
10780,,,"Alexandria, LA",Metropolitan Statistical Area,1,,,Grant Parish,Louisiana,22043,Outlying
10780,,,"Alexandria, LA",Metropolitan Statistical Area,1,,,Rapides Parish,Louisiana,22079,Central
10820,,,"Alexandria, MN",Micropolitan Statistical Area,2,,,Douglas County,Minnesota,27041,Central
10860,,,"Alice, TX",Micropolitan Statistical Area,2,,,Jim Wells County,Texas,48249,Central
10880,,266,"Allegan, MI",Micropolitan Statistical Area,2,,"Grand Rapids-Muskegon-Holland, MI",Allegan County,Michigan,26005,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,1,,,Warren County,New Jersey,34041,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,1,,,Carbon County,Pennsylvania,42025,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,1,,,Lehigh County,Pennsylvania,42077,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,1,,,Northampton County,Pennsylvania,42095,Central
10940,,,"Alma, MI",Micropolitan Statistical Area,2,,,Gratiot County,Michigan,26057,Central
10980,,,"Alpena, MI",Micropolitan Statistical Area,2,,,Alpena County,Michigan,26007,Central
11020,,,"Altoona, PA",Metropolitan Statistical Area,1,,,Blair County,Pennsylvania,42013,Central
11060,,,"Altus, OK",Micropolitan Statistical Area,2,,,Jackson County,Oklahoma,40065,Central
11100,,,"Amarillo, TX",Metropolitan Statistical Area,1,,,Armstrong County,Texas,48011,Outlying
11100,,,"Amarillo, TX",Metropolitan Statistical Area,1,,,Carson County,Texas,48065,Outlying
11100,,,"Amarillo, TX",Metropolitan Statistical Area,1,,,Potter County,Texas,48375,Central
11100,,,"Amarillo, TX",Metropolitan Statistical Area,1,,,Randall County,Texas,48381,Central
11140,,,"Americus, GA",Micropolitan Statistical Area,2,,,Schley County,Georgia,13249,Outlying
